Caltrans District ID Number,Route Number,Route Suffix,County,Postmile Prefix,Postmile Number,Postmile Suffix,Description of Location,South or Westbound Peak Hour,South or Westbound Peak Month,South or Westbound Annual Average Daily Traffic (AADT),North or Eastbound Peak Hour,North or Eastbound Peak Month,North or Eastbound Annual Average Daily Traffic (AADT),Location
10,120,,Tuolumne,,8.19,,LA GRANGE ROAD,1300,12200,9200,1350,15400,12900,"(37.84342036, -120.5079788)"
10,120,,San Joaquin,,8.84,,JACKTONE ROAD,1250,13800,11200,1450,16300,13400,"(37.797654, -121.14315)"
10,120,,Stanislaus,,8.86,,ORANGE BLOSSOM ROAD,1950,20400,17200,1750,13800,11100,"(37.77648867, -120.7815523)"
10,120,,San Joaquin,,11.64,,FRENCH CAMP ROAD,1450,16300,13400,1200,20000,16800,"(37.79806131, -121.0921345)"
10,120,,Tuolumne,,12.077,,EAST JCT. RTE. 108,1650,19400,15600,450,3850,3450,"(37.89122393, -120.4882876)"
10,120,,Tuolumne,,15.516,,"CHINESE CAMP, NORTH JCT. RTE. 49",450,3350,3000,630,5700,4050,"(37.8747014, -120.4347311)"
10,120,,San Joaquin,R,16.922,,"ESCALON, MAIN/KERN STREETS",1400,18600,15600,990,18400,15400,"(37.79678343, -120.9955802)"
10,120,,San Joaquin,,17.885,,"ESCALON, DAVID AVENUE",900,16700,14000,1350,13800,10200,"(37.79420137, -120.9841126)"
10,120,,Stanislaus,T,18.16,,STANISLAUS/TUOLUMNE COUNTY,1550,13500,11200,,,,"(37.82318681, -120.6402067)"
10,120,,San Joaquin,,21.184,,SAN JOAQUIN/STANISLAUS COUNTY,1550,13500,9700,,,,"(37.79357124, -120.9232688)"
10,120,,Tuolumne,R,21.803,,JACKSONVILLE ROAD,590,5400,4300,670,7600,4300,"(37.82921339, -120.3452904)"
10,120,,Tuolumne,R,23.897,,SOUTH JCT. RTE. 49,730,7100,2850,510,6000,3900,"(37.81478933, -120.3117632)"
10,120,,Tuolumne,,30.32,,WARDS FERRY/BIG OAK ROADS,680,6900,4800,860,8600,5800,"(37.82325846, -120.2587498)"
10,120,,Tuolumne,,30.47,,BIG OAK FLAT,860,8600,5800,1050,10700,7800,"(37.82461185, -120.2566008)"
10,120,,Tuolumne,,32.184,,GROVELAND,1050,10700,7800,790,7100,4950,"(37.8382825, -120.2316457)"
10,120,,Tuolumne,R,38.9,,HELLS HOLLOW ROAD,800,7200,4850,750,4250,2350,"(37.81710435, -120.129645)"
10,120,,Tuolumne,R,39.459,,SMITHS STATION ROAD,630,4050,2100,1050,8100,3800,"(37.81355771, -120.1206436)"
10,120,,Tuolumne,R,41.522,,TUOLUMNE/MARIPOSA COUNTY LINE,1050,8100,3800,,,,"(37.82278774, -120.0895046)"
10,120,,Mariposa,R,41.522,,TUOLUMNE/MARIPOSA COUNTY LINE,,,,1050,9000,4200,"(37.82278774, -120.0895046)"
10,120,,Mariposa,,43.09,,BUCK MEADOWS,1050,9000,4250,1050,6600,4200,"(37.81382922, -120.0664558)"
10,120,,Mariposa,,43.749,,MARIPOSA/TUOLUMNE COUNTY LINE,1050,6600,4200,,,,"(37.8180727, -120.0557145)"
10,120,,Tuolumne,,43.749,,MARIPOSA/TUOLUMNE COUNTY LINE,,,,1050,6600,3700,"(37.8180727, -120.0557145)"
10,120,,Tuolumne,,47.25,,CHERRY VALLEY ROAD,1050,6400,3600,1000,6300,3500,"(37.82480807, -120.0105557)"
10,120,,Tuolumne,R,56.15,,YOSEMITE NATIONAL PARK  (WEST BOUNDARY),1000,6300,3500,,,,"(37.815082, -119.87517)"
10,124,,Amador,,0,,"JCT. RTE. 88, IONE SOUTH",,,,320,5300,5000,"(38.31983, -120.937825)"
10,124,,Amador,R,2.291,,"IONE, WEST JCT RTE 104",390,8300,6700,290,4750,4500,"(38.35273, -120.933366)"
10,124,,Amador,R,2.42,,"IONE, RAYMOND DRIVE",320,5300,5000,250,4000,3800,"(38.355511, -120.934228)"
10,124,,Amador,R,10.335,,"WAITES STATION, JCT. RTE. 16",280,4000,3800,,,,"(38.453833, -120.872648)"
10,132,,Tuolumne,,0,,STANISLAUS/TUOLUMNE COUNTY LINE,,,,200,1700,1250,"(37.63735741, -120.3928754)"
10,132,,Stanislaus,,0,,SAN JOAQUIN/STANISLAUS COUNTY,,,,1650,17400,11500,"(37.63828532, -121.2736894)"
10,132,,San Joaquin,,0,,JCT. RTE. 580,,,,1550,17000,13200,"(37.63873994, -121.4021421)"
10,132,,San Joaquin,,0.243,,CHRISMAN ROAD ,1550,17000,14400,1500,15100,13000,"(37.6384818, -121.3976973)"
10,132,,San Joaquin,,3.24,,JCT. RTE. 5,1500,15100,13000,1450,15200,14100,"(37.63766583, -121.3430762)"
10,132,,Mariposa,,3.774,,MARIPOSA/TUOLUMNE COUNTY LINE,250,1950,1400,,,,"(37.67688381, -120.364811)"
10,132,,Tuolumne,,3.774,,MARIPOSA/TUOLUMNE COUNTY LINE,,,,250,1950,1250,"(37.67688381, -120.364811)"
10,132,,Tuolumne,,4.02,,BONDS FLAT RD LT,250,1950,1400,330,2500,1850,"(37.67929738, -120.3613351)"
10,132,,San Joaquin,R,5.86,,"VERNALIS, JCT. RTE. 33",1450,15200,14100,2300,12000,10900,"(37.6379865, -121.295264)"
10,132,,Tuolumne,,5.96,,LAS PALMAS WAY RT,330,2500,1850,320,2500,1850,"(37.68309692, -120.3312877)"
10,132,,Tuolumne,,6.32,,MERCED FALLS RD RT,320,2500,1500,270,2650,1750,"(37.68842367, -120.3306849)"
10,132,,San Joaquin,,7.108,,SAN JOAQUIN/STANISLAUS COUNTY,1800,17600,11500,,,,"(37.63828532, -121.2736894)"
10,132,,Tuolumne,R,7.58,,LOZAND ST/DON PEDRO BAR,310,2450,1450,260,1900,1150,"(37.70623906, -120.3340167)"
10,132,,Tuolumne,R,7.636,,TUOLUMNE/MARIPOSA COUNTY LINE,260,1950,1150,,,,"(37.70691549, -120.3339625)"
10,132,,Mariposa,R,7.636,,TUOLUMNE/MARIPOSA COUNTY LINE,,,,260,1950,1150,"(37.70691549, -120.3339625)"
10,132,,Stanislaus,,8.38,,HART ROAD,2200,12300,10400,1200,12000,11200,"(37.63789399, -121.1221465)"
10,132,,Stanislaus,,11.39,,DAKOTA AVENUE,1150,11400,10700,1150,12400,11000,"(37.63822596, -121.0673323)"
10,132,,Stanislaus,,13.42,,"MODESTO, CARPENTER ROAD",1100,11800,10100,950,23000,8600,"(37.63868394, -121.0303995)"
10,132,,Stanislaus,,14.732,,"MODESTO, JCT. RTE. 99",1450,15100,14300,1000,12000,10400,"(37.63919526, -121.0068737)"
10,132,,Stanislaus,,14.983,,JCT. RTE. 108 WEST; L STREET,1000,12000,10400,1000,12000,10400,"(37.64158559, -121.0036929)"
10,132,,Stanislaus,,14.983,,"MODESTO, 9TH/D STREETS",1350,16200,14400,1200,13700,12000,"(37.64158559, -121.0036929)"
10,132,,Stanislaus,,15.34,,"MODESTO, 14TH/D STREETS",1400,16700,14800,1400,16100,14100,"(37.63740934, -120.989776)"
10,132,,Stanislaus,,16.323,,"MODESTO, LA LOMA AVENUE",1700,20100,18100,2000,24700,21700,"(37.63819492, -120.9719704)"
10,132,,Stanislaus,,17.14,,EL VISTA AVENUE,2000,21000,20200,1950,20500,19200,"(37.63817692, -120.9572536)"
10,132,,Stanislaus,,18.15,,LINCOLN AVENUE,1850,21300,19100,1550,17900,15900,"(37.63816732, -120.9388927)"
10,132,,Mariposa,,18.746,,"COULTERVILLE, JCT. RTE. 49",130,960,830,,,,"(37.710362, -120.196923)"
10,132,,Stanislaus,,19.13,,"MODESTO, CLAUS ROAD",1500,16200,13300,1300,14800,13300,"(37.63821114, -120.9209077)"
10,132,,Stanislaus,,20.103,,"EMPIRE, SANTA FE DRIVE/ E STREET",1500,17000,14900,900,10000,9300,"(37.63825979, -120.903105)"
10,132,,Stanislaus,,20.352,,I ST LT,990,11300,10100,740,8600,7600,"(37.63830021, -120.8985548)"
10,132,,Stanislaus,,23.144,,GEER/ALBERS ROADS,640,8300,7800,780,10500,9700,"(37.63872494, -120.8476716)"
10,132,,Stanislaus,,27.22,,REINWAY AVE,910,10900,9300,820,10100,8700,"(37.63819562, -120.7736862)"
10,132,,Stanislaus,,28,,HICKMAN ROAD/F STREET,560,8000,7900,410,7300,7200,"(37.63828225, -120.7595761)"
10,132,,Stanislaus,,28.242,,TIM BELL ST / BAKER ST,460,7400,7000,460,6300,5500,"(37.63933978, -120.7555516)"
10,132,,Stanislaus,,29.105,,SKYLINE BOULEVARD,360,4750,3300,290,3750,2900,"(37.63980072, -120.7404625)"
10,132,,Stanislaus,,35.98,,ROBERTS FERRY ROAD,250,2700,2100,320,2800,1850,"(37.63896698, -120.6200553)"
10,132,,Stanislaus,,45.81,,"LA GRANGE,  LA GRANGE RD/COUNTY ROAD J59",320,2800,2050,310,2350,1700,"(37.663146, -120.471649)"
10,132,,Stanislaus,,51.006,,STANISLAUS/TUOLUMNE COUNTY LINE,200,1700,1250,,,,"(37.63735741, -120.3928754)"
10,140,,Merced,,0,,JCT. RTE. 5,,,,110,1200,850,"(37.24622525, -121.0884936)"
10,140,,Mariposa,,0,,MERCED/MARIPOSA COUNTY LINE,,,,590,4650,3900,"(37.34199932, -120.2204233)"
10,140,,Merced,,3.199,,WHITWORTH RD,140,1800,1050,170,1950,1300,"(37.24581815, -121.0308574)"
10,140,,Merced,,4.194,,"GUSTINE, WEST JCT. RTE. 33",180,2050,1400,370,5100,4950,"(37.245808, -121.012819)"
10,140,,Merced,,5,,"GUSTINE, LINDEN AVE",390,5100,5000,410,6000,5600,"(37.2530018, -121.0074267)"
10,140,,Merced,,5.79,,"GUSTINE, FOURTH AVENUE",420,8100,5500,680,8600,7200,"(37.256323, -120.998298)"
10,140,,Merced,,6.06,,"GUSTINE, EAST JCT. RTE. 33",550,7900,7000,330,4050,3600,"(37.26012283, -120.9997386)"
10,140,,Merced,,6.83,,KNIEBES ROAD,430,4400,3100,430,4400,3100,"(37.26035674, -120.986344)"
10,140,,Mariposa,,9.5,,HORNITOS ROAD,620,6200,4250,480,4900,4450,"(37.43199218, -120.0985049)"
10,140,,Merced,,16.22,,JCT. RTE. 165,310,3550,3400,330,3700,3350,"(37.313159, -120.851227)"
10,140,,Mariposa,,21.224,,"MARIPOSA, SOUTH JCT. RTE. 49",650,6000,4350,960,11500,9600,"(37.483255, -119.9638533)"
10,140,,Mariposa,,21.38,,"MARIPOSA, SIXTH ST",900,11500,9300,550,11100,9800,"(37.48503893, -119.9654937)"
10,140,,Mariposa,,22.001,,"MARIPOSA, JCT. RTE. 49 NORTH",870,9100,7900,520,6700,5800,"(37.49201574, -119.9721078)"
10,140,,Merced,,23.435,,LINCOLN BOULEVARD,350,3850,2950,420,4200,3000,"(37.29979211, -120.7241125)"
10,140,,Mariposa,,26.29,,TRIANGLE ROAD,220,4250,3100,410,4850,3350,"(37.52342479, -119.9239126)"
10,140,,Mariposa,,28.95,,OAK ROAD,360,4150,2900,380,4050,2800,"(37.55630642, -119.9307485)"
10,140,,Merced,,29.47,,APPLEGATE ROAD,420,4450,4200,480,8100,5800,"(37.302098, -120.614847)"
10,140,,Mariposa,,29.689,,COLORADO ROAD,310,3700,2650,150,1850,1400,"(37.56432521, -119.9396202)"
10,140,,Merced,,31.51,,BUHACH ROAD,410,4850,4300,510,6700,6400,"(37.3022489, -120.5777153)"
10,140,,Merced,,33.55,,FRANKLIN ROAD,500,6300,5500,590,7500,6000,"(37.30264524, -120.5410445)"
10,140,,Mariposa,,34.07,,BRICEBURG STATION,120,1750,1250,160,1650,1150,"(37.60464083, -119.9660777)"
10,140,,Merced,,35.03,,"MERCED, MASSACIO STREET",580,7500,6000,600,7700,6000,"(37.30272654, -120.5140418)"
10,140,,Merced,,35.552,,"MERCED, X STREET",590,9600,9000,950,14500,12700,"(37.30270457, -120.5045197)"
10,140,,Merced,,35.78,,"MERCED, JCT. RTES. 99/59",1300,15000,14200,1650,18000,14700,"(37.303063, -120.500628)"
10,140,,Merced,,35.879,,"MERCED, GLEN AVENUE/ MOTEL DRIVE",1450,22700,19100,1100,13000,12200,"(37.29522257, -120.4664297)"
10,140,,Merced,,36.7,,"MERCED, PARSONS AVENUE",1150,13500,12500,1100,13300,12300,"(37.29516836, -120.4515981)"
10,140,,Merced,,37.4,,"MERCED, SANTA FE AVENUE",850,11200,10400,730,8500,7400,"(37.295112, -120.43901)"
10,140,,Merced,,43.7,,PLANADA ROAD,760,8200,7100,620,6800,6500,"(37.29537906, -120.3248491)"
10,140,,Mariposa,,48.17,,FORESTA RD LT,160,1650,1150,130,1400,980,"(37.66896917, -119.8173367)"
10,140,,Merced,,50.301,,MERCED/MARIPOSA COUNTY LINE,590,4650,3900,,,,"(37.34199932, -120.2204233)"
10,140,,Mariposa,,50.32,,EL PORTAL ROAD,130,1400,980,120,1850,1200,"(37.673045, -119.785478)"
10,140,,Mariposa,,51.803,,YOSEMITE NATIONAL PARK,230,2250,1400,,,,"(37.679155, -119.75997)"
10,152,,Merced,R,0,,SANTA CLARA/MERCED COUNTY LINE,,,,1850,38500,33000,"(37.06768394, -121.2139597)"
10,152,,Merced,R,13.24,,WEST JCT. RTE. 33,2950,29500,24400,2750,29000,25000,"(37.05678709, -121.0163891)"
10,152,,Merced,,13.848,,JCT. RTE. 5,2900,31000,26000,2150,31500,27000,"(37.056586, -120.9696335)"
10,152,,Merced,,19.268,,"LOS BANOS, ORTIGALITA ROAD",1900,24200,23000,2900,29500,28000,"(37.05674509, -120.8715015)"
10,152,,Merced,,19.618,,"LOS BANOS, WEST I STREET",2900,31000,28000,2500,31500,30000,"(37.056866, -120.865282)"
10,152,,Merced,,20.598,,"LOS BANOS, 7TH STREET",3000,35500,31500,2500,34000,33500,"(37.05689034, -120.8474521)"
10,152,,Merced,,21.058,,"LOS BANOS, EAST I STREET",2250,31000,30500,2500,33500,29000,"(37.05691363, -120.8391931)"
10,152,,Merced,,21.272,,"LOS BANOS, JCT. RTE. 165",2450,31500,28000,2850,38000,33500,"(37.056918, -120.835342)"
10,152,,Merced,,22.252,,"LOS BANOS, WARD RD",2850,38000,33500,1750,21100,19400,"(37.056828, -120.817793)"
10,152,,Merced,,23.915,,"LOS BANOS, SANTA FE ROAD",1900,20500,18700,1900,20700,18900,"(37.055563, -120.787467)"
10,152,,Merced,R,32.366,,"DOS PALOS WYE, EAST JCT. RTE. 33",1900,20700,18800,1550,19400,16400,"(37.050421, -120.635536)"
10,152,,Merced,R,40.77,,JCT. RTE. 59,1650,17700,16200,1450,16000,15000,"(37.0818704, -120.4967078)"
10,152,,Merced,R,40.949,,MERCED/MADERA COUNTY LINE,1550,18400,16100,,,,"(37.08285604, -120.4937743)"
10,165,,Merced,L,0,,JCT. RTE. 5,,,,300,2400,1050,"(36.929948, -120.840962)"
10,165,,Stanislaus,,0,,MERCED / STANISLAUS COUNTY LINE,,,,1950,27500,14900,"(37.45290403, -120.8490665)"
10,165,,Stanislaus,,1.545,,"JCT. RTE. 99, NEAR TURLOCK",2400,32000,18800,,,,"(37.474509, -120.848984)"
10,165,,Merced,,3.749,,CHARLESTON AVE,330,2600,1550,290,2950,2050,"(36.98390885, -120.8372983)"
10,165,,Merced,,7.782,,PIONEER ROAD,420,6000,4300,660,7200,6400,"(37.04240558, -120.8357645)"
10,165,,Merced,,8.24,,SCRIPPS DR,660,7200,6700,960,10600,7600,"(37.04914054, -120.8355129)"
10,165,,Merced,,8.786,,"LOS BANOS, JCT. RTE. 152",990,13000,12000,1650,20800,16000,"(37.05695218, -120.8353415)"
10,165,,Merced,,9.469,,EAST B STREET,1450,14500,12000,1450,17100,13500,"(37.066827, -120.835184)"
10,165,,Merced,,9.947,,"LOS BANOS, OVERLAND AVENUE",1450,18200,13200,1250,11400,11000,"(37.073774, -120.835075)"
10,165,,Merced,,11.733,,HENRY MILLER AVENUE,1300,13700,6600,690,8300,7600,"(37.09966963, -120.8348623)"
10,165,,Merced,,26.872,,JCT. RTE. 140,690,6000,5500,630,7300,6200,"(37.31321792, -120.8512271)"
10,165,,Merced,,27.88,,THIRD AVE,580,7200,5500,810,10600,6200,"(37.327664, -120.85111)"
10,165,,Merced,,30.175,,WESTSIDE BOULEVARD/RIVER ROAD,750,9800,6400,870,10800,6700,"(37.36087, -120.849544)"
10,165,,Merced,,32.366,,WILLIAMS AVE,860,10800,8600,1200,14700,9200,"(37.38977692, -120.850295)"
10,165,,Merced,,33.365,,"BLOSS AVENUE, HILMAR",1550,19400,10200,1600,21100,10800,"(37.40439867, -120.8501204)"
10,165,,Merced,,33.616,,"FIRST ST, HILMAR",1600,21100,10800,1500,24700,11800,"(37.40798819, -120.8500759)"
10,165,,Merced,,33.864,,AMERICAN AVENUE,1500,24700,12400,1700,24700,14600,"(37.41154671, -120.8500258)"
10,165,,Merced,,36.445,,BRADBURY ROAD,1700,24700,14700,1950,27500,14900,"(37.44889575, -120.8491126)"
10,165,,Merced,,36.722,,MERCED / STANISLAUS COUNTY LINE,1950,27500,14900,,,,"(37.45290403, -120.8490665)"
10,205,,San Joaquin,L,0,,ALAMEDA/SAN JOAQUIN COUNTY LINE,,,,8700,123000,114000,"(37.74303156, -121.5571866)"
10,205,,San Joaquin,,1.377,,PATTERSON PASS ROAD,8300,106000,103000,8400,113000,106000,"(37.7423816, -121.5313254)"
10,205,,San Joaquin,R,3.369,,OLD ROUTE 50,7600,103000,89000,6600,97000,83000,"(37.74089961, -121.4957964)"
10,205,,San Joaquin,R,8.127,,"TRACY, MAC ARTHUR DRIVE",8900,109000,107000,8700,124000,111000,"(37.76410413, -121.4146744)"
10,205,,San Joaquin,R,12.686,,JCT. RTE. 5,6900,116000,97000,,,,"(37.76709633, -121.3313753)"
10,207,,Alpine,,0,,JCT. RTE. 4,,,,300,1100,750,"(38.48254, -120.01946)"
10,207,,Alpine,,1.36,,MT. REBA SKI RESORT,300,1100,740,,,,"(38.49216, -120.03458)"
10,219,,Stanislaus,,0.116,,JCT. RTE. 99,,,,2200,30000,27500,"(37.70895062, -121.0809402)"
10,219,,Stanislaus,,4.858,,JCT. RTE. 108,1600,14900,14200,,,,"(37.71101754, -120.9949304)"
10,580,,San Joaquin,,0,,JCT. RTE. 5,,,,2200,23100,21000,"(37.59751123, -121.3418685)"
10,580,,San Joaquin,,4.329,,JCT. RTE. 132 EAST,2200,23100,21000,3350,32000,30000,"(37.63869465, -121.4015738)"
10,580,,San Joaquin,,8.149,,CORRAL HOLLOW ROAD ,2850,34000,30500,2850,34000,30500,"(37.67234483, -121.457098)"
10,580,,San Joaquin,,15.34,,SAN JOAQUIN/ALAMEDA COUNTY LINE,2650,34000,31000,,,,"(37.73885593, -121.556894)"
11,5,,San Diego,R,0.306,,"SAN DIEGO, CAMINO DE LA PLAZA, INTN'L BNDRY",,,,6200,74000,73000,"(32.54449329, -117.0324502)"
11,5,,San Diego,R,0.878,,SOUTH JCT. RTE. 805,6200,74000,73000,3300,38500,37000,"(32.5496832, -117.0405826)"
11,5,,San Diego,R,1.198,,VIA SAN YSIDRO,3300,38500,37000,4350,53000,49000,"(32.55143842, -117.04527)"
11,5,,San Diego,,2.312,,"SAN DIEGO, DAIRY MART ROAD",4350,53000,49000,5400,66000,65000,"(32.55870491, -117.0623441)"
11,5,,San Diego,,3.1,,"SAN DIEGO, JCT. RTE. 905",5400,66000,65000,7700,99000,98000,"(32.56526876, -117.073255)"
11,5,,San Diego,,4.042,,"SAN DIEGO, CORONADO AVENUE",8100,105000,104000,8900,117000,116000,"(32.576488, -117.0822804)"
11,5,,San Diego,,4.632,,JCT. RTE. 75 WEST,8900,117000,116000,12300,151000,148000,"(32.58383566, -117.0872501)"
11,5,,San Diego,,5.404,,"SAN DIEGO, MAIN STREET",12300,151000,148000,12800,152000,150000,"(32.59493205, -117.0886472)"
11,5,,San Diego,,6.056,,"CHULA VISTA, PALOMAR STREET",12800,152000,150000,12500,148000,146000,"(32.60435376, -117.0898589)"
11,5,,San Diego,,6.807,,"CHULA VISTA, L STREET ",12500,148000,146000,13500,159000,158000,"(32.61519266, -117.0911275)"
11,5,,San Diego,,7.3,,"CHULA VISTA, J STREET",13500,159000,158000,13500,163000,162000,"(32.62214101, -117.0930019)"
11,5,,San Diego,,7.812,,"CHULA VISTA, H STREET",13500,163000,162000,13700,172000,166000,"(32.62921163, -117.0957555)"
11,5,,San Diego,,8.562,,E STREET,13700,172000,166000,10800,133000,127000,"(32.63953612, -117.099884)"
11,5,,San Diego,,9.396,,JCT. RTE. 54,10800,133000,127000,15400,189000,183000,"(32.65124908, -117.1041)"
11,5,,San Diego,R,10.042,,"NATIONAL CITY, 24TH STREET",15400,189000,183000,15300,187000,182000,"(32.65991387, -117.1077671)"
11,5,,San Diego,R,10.749,,"NATIONAL CITY, 9TH STREET ",15300,187000,182000,14500,181000,173000,"(32.66951978, -117.1112649)"
11,5,,San Diego,R,11.129,,8TH STREET,14500,181000,173000,15600,196000,187000,"(32.67483314, -117.1095954)"
11,5,,San Diego,R,11.66,,"SAN DIEGO, DIVISION/MAIN STREETS",15600,196000,187000,15700,195000,194000,"(32.68212482, -117.1108987)"
11,5,,San Diego,R,12.647,,JCT. RTE. 15 NORTH,15700,195000,194000,12600,165000,157000,"(32.69300652, -117.1216583)"
11,5,,San Diego,R,13.386,,"SAN DIEGO, 28TH STREET",12600,165000,157000,12500,167000,161000,"(32.69512423, -117.1338089)"
11,5,,San Diego,R,14.077,,"SAN DIEGO, JCT. RTE. 75 SOUTH",12500,167000,161000,12700,170000,163000,"(32.70153619, -117.1429602)"
11,5,,San Diego,R,14.74,,J STREET,12700,170000,163000,13800,180000,167000,"(32.70939735, -117.1475187)"
11,5,,San Diego,R,15.036,,"SAN DIEGO, JCT. RTE. 94",13800,180000,167000,16600,230000,215000,"(32.71368958, -117.1475437)"
11,5,,San Diego,R,15.405,,"SAN DIEGO, PERSHING DRIVE ",16600,230000,215000,16600,230000,215000,"(32.71909152, -117.1477164)"
11,5,,San Diego,R,16.069,,"SAN DIEGO, JCT. RTE. 163",16600,230000,215000,16000,222000,206000,"(32.72418912, -117.1554495)"
11,5,,San Diego,R,16.311,,"SAN DIEGO, SIXTH AVENUE",16000,222000,206000,16000,222000,206000,"(32.72313908, -117.1593643)"
11,5,,San Diego,R,16.589,,"SAN DIEGO, FIRST AVENUE",16000,222000,206000,12400,175000,163000,"(32.72349001, -117.1639028)"
11,5,,San Diego,R,16.912,,"SAN DIEGO, HAWTHORN STREET",12400,175000,163000,15300,212000,194000,"(32.72695926, -117.1673089)"
11,5,,San Diego,R,17.25,,"SAN DIEGO, INDIA/SASSAFRAS STREETS",15300,212000,194000,14900,205000,188000,"(32.73099167, -117.1708842)"
11,5,,San Diego,R,17.53,,PACIFIC HIGHWAY VIADUCT,14900,205000,188000,12000,161000,149000,"(32.73418571, -117.1736859)"
11,5,,San Diego,R,17.77,,"SAN DIEGO, SASSAFRAS STREET",12000,161000,149000,11700,155000,145000,"(32.73703309, -117.1761724)"
11,5,,San Diego,R,18.283,,"SAN DIEGO, WASHINGTON STREET",11700,155000,145000,15400,206000,192000,"(32.7424103, -117.1820553)"
11,5,,San Diego,R,19.033,,"SAN DIEGO, OLD TOWN AVENUE ",15400,206000,192000,15400,207000,199000,"(32.74776093, -117.1933648)"
11,5,,San Diego,R,20.056,,JCT. RTE. 8/CAMINO DEL RIO,15400,207000,199000,16300,215000,201000,"(32.75911385, -117.2037181)"
11,5,,San Diego,R,20.818,,"SAN DIEGO, MISSION BAY DR/SEA WORLD DR",16300,215000,201000,17600,233000,218000,"(32.77000752, -117.2065007)"
11,5,,San Diego,R,22.262,,CLAIREMONT DRIVE,17600,233000,218000,16700,206000,201000,"(32.79067219, -117.2069631)"
11,5,,San Diego,R,22.872,,"SAN DIEGO, DE ANZA ROAD",16700,206000,201000,13400,165000,160000,"(32.79876588, -117.210516)"
11,5,,San Diego,R,23.476,,"SAN DIEGO, BALBOA AVENUE",13400,165000,160000,12300,150000,144000,"(32.80659246, -117.2155278)"
11,5,,San Diego,R,23.93,,"SAN DIEGO, MISSION BAY DRIVE",12300,150000,144000,16600,213000,202000,"(32.81222384, -117.2200819)"
11,5,,San Diego,R,25.947,,JCT. RTE. 52 EAST,16600,213000,202000,13900,193000,188000,"(32.83750465, -117.2344022)"
11,5,,San Diego,R,26.79,,"SAN DIEGO, GILMAN DRIVE",13900,193000,188000,12700,177000,169000,"(32.84928469, -117.2351541)"
11,5,,San Diego,R,28.159,,"SAN DIEGO, NOBEL DRIVE ",12700,177000,169000,11100,157000,149000,"(32.86824285, -117.2294374)"
11,5,,San Diego,R,28.428,,"SAN DIEGO, LA JOLLA DRIVE",11100,157000,149000,11700,164000,163000,"(32.87213558, -117.2290476)"
11,5,,San Diego,R,29.463,,"SAN DIEGO, GENESEE AVENUE",11700,164000,163000,12200,170000,169000,"(32.88705649, -117.227615)"
11,5,,San Diego,R,30.345,L,BEGIN LEFT ALIGN ,,,,6300,76000,71000,"(32.89950372, -117.2246857)"
11,5,,San Diego,R,30.426,R,"SAN DIEGO, SORRENTO VALLEY RD, BEG RT ALIGN",,,,6700,81000,75000,"(32.90060657, -117.2242534)"
11,5,,San Diego,R,30.682,R,"SAN DIEGO, NORTH JCT. RTE. 805",6700,81000,75000,6600,82000,75000,"(32.90423541, -117.2238281)"
11,5,,San Diego,R,30.682,L,"SAN DIEGO, NORTH JCT. RTE. 805",6300,76000,71000,8200,103000,99000,"(32.90423541, -117.2238281)"
11,5,,San Diego,R,31.155,L, END LEFT ALIGN,8200,103000,99000,,,,"(32.91049768, -117.2275185)"
11,5,,San Diego,R,31.188,R,END RIGHT ALIGN,8100,109000,108000,,,,"(32.91092099, -117.2278072)"
11,5,,San Diego,R,31.805,,"SAN DIEGO, CARMEL MOUNTAIN ROAD",15700,220000,207000,15700,220000,207000,"(32.91781976, -117.2342578)"
11,5,,San Diego,R,32.841,,JCT. RTE. 56,15700,220000,207000,15700,220000,207000,"(32.93157317, -117.2409536)"
11,5,,San Diego,R,32.901,,"SAN DIEGO, CARMEL VALLEY ROAD ",15700,220000,207000,16500,253000,250000,"(32.93229487, -117.2410462)"
11,5,,San Diego,R,34.134,,"SAN DIEGO, DEL MAR HEIGHTS ROAD ",16500,253000,250000,16200,249000,248000,"(32.95002807, -117.2435591)"
11,5,,San Diego,R,36.266,,VIA DE LA VALLE,16200,249000,248000,17600,243000,230000,"(32.9798354, -117.2529232)"
11,5,,San Diego,R,37.384,,"SOLANA BEACH, LOMAS SANTA FE DRIVE",17600,243000,230000,16100,244000,231000,"(32.99569569, -117.2564407)"
11,5,,San Diego,R,38.624,,MANCHESTER AVENUE,16100,244000,231000,14200,216000,203000,"(33.01122916, -117.2654581)"
11,5,,San Diego,R,39.83,,BIRMINGHAM DRIVE ,14200,216000,203000,14200,216000,201000,"(33.02637835, -117.2746892)"
11,5,,San Diego,R,40.597,,"ENCINITAS, SANTA FE DRIVE",14200,216000,201000,15100,229000,212000,"(33.03605114, -117.2811505)"
11,5,,San Diego,R,41.509,,ENCINITAS BOULEVARD,15100,229000,212000,15700,225000,213000,"(33.04820676, -117.287023)"
11,5,,San Diego,R,42.712,,LEUCADIA BOULEVARD,15700,225000,213000,15600,225000,210000,"(33.06511809, -117.2921157)"
11,5,,San Diego,R,44.071,,"LEUCADIA, LA COSTA AVENUE ",15600,225000,210000,15300,220000,206000,"(33.08424401, -117.2980024)"
11,5,,San Diego,R,45.571,,"CARLSBAD, POINSETTIA LANE ",15300,220000,206000,15200,218000,203000,"(33.10344266, -117.3104399)"
11,5,,San Diego,R,47.032,,"CARLSBAD, PALOMAR AIRPORT ROAD",15200,218000,203000,15100,216000,200000,"(33.12219572, -117.3219555)"
